order_id,customer_id,city,gender,age,device_type,traffic_source,experiment_group,converted,order_value,num_items,session_time_min,delivery_time_days,customer_rating,discount_applied,payment_method,return_flag
ORD00127,CUST01699,Bengaluru,Female,52,Mobile,Organic,A_Control,0,5354,5,9.03,5.2,3.8,0,Credit Card,1
ORD00128,CUST00419,Bengaluru,Male,54,Desktop,Referral,A_Control,0,3771,3,14.11,7.0,4.6,1,UPI,0
ORD00129,CUST02337,Bengaluru,Female,35,Desktop,Organic,A_Control,0,4771,1,10.31,6.1,4.1,1,Debit Card,0
ORD00130,CUST00379,Delhi,Male,50,Mobile,Google Ads,A_Control,0,2519,1,8.04,3.3,4.1,1,UPI,0
ORD00131,CUST01797,Mumbai,Male,21,Mobile,Organic,B_Variant,0,3148,1,6.07,4.5,4.2,0,Credit Card,0
ORD00132,CUST02279,Hyderabad,Male,40,Desktop,Google Ads,A_Control,0,2593,7,4.96,6.6,3.1,0,Net Banking,0
ORD00133,CUST03066,Delhi,Male,28,Desktop,Social Media,B_Variant,0,3136,5,7.72,5.1,3.8,0,UPI,0
ORD00134,CUST02089,Chennai,Female,26,Tablet,Social Media,A_Control,0,1646,4,5.32,5.8,4.0,0,UPI,0
ORD00135,CUST03100,Chennai,Male,47,Mobile,Organic,A_Control,0,2154,3,7.8,5.3,3.8,1,Debit Card,0
ORD00136,CUST02183,Bengaluru,Male,25,Desktop,Google Ads,B_Variant,0,3560,4,12.74,4.4,5.0,0,COD,1
ORD00137,CUST00201,Delhi,Female,57,Mobile,Organic,B_Variant,0,3497,1,12.81,4.2,4.0,0,UPI,0
ORD00138,CUST01864,Delhi,Female,22,Desktop,Google Ads,B_Variant,0,2806,3,15.66,2.5,3.7,0,Net Banking,0
ORD00139,CUST00780,Bengaluru,Female,29,Mobile,Social Media,B_Variant,0,4777,5,6.64,3.2,4.4,0,UPI,0
ORD00140,CUST02978,Hyderabad,Male,18,Mobile,Email,B_Variant,0,2483,1,3.84,2.9,3.6,0,UPI,0
ORD00141,CUST03105,Hyderabad,Female,32,Mobile,Referral,B_Variant,0,3591,2,9.01,3.8,4.1,0,Credit Card,0
ORD00142,CUST03120,Mumbai,Female,42,Mobile,Google Ads,B_Variant,1,3244,1,6.55,4.4,4.3,0,Debit Card,0
ORD00143,CUST00503,Mumbai,Male,35,Mobile,Organic,B_Variant,0,2420,2,11.52,4.1,3.4,1,COD,0
ORD00144,CUST02455,Hyderabad,Male,55,Desktop,Social Media,A_Control,0,3277,4,14.82,4.6,4.4,1,UPI,0
ORD00145,CUST01752,Chennai,Male,59,Desktop,Referral,B_Variant,1,2331,2,10.11,5.3,5.0,0,Debit Card,0
ORD00146,CUST00805,Hyderabad,Male,43,Mobile,Social Media,B_Variant,0,2606,4,8.34,3.7,4.2,1,UPI,0
ORD00147,CUST02147,Mumbai,Male,57,Mobile,Google Ads,A_Control,0,3918,4,5.97,5.4,2.9,1,COD,1
ORD00148,CUST02732,Bengaluru,Male,20,Mobile,Organic,A_Control,0,3083,5,8.72,6.0,4.0,0,UPI,0
ORD00149,CUST01896,Chennai,Female,39,Tablet,Social Media,B_Variant,0,3226,5,10.64,4.9,2.9,0,Debit Card,0
ORD00150,CUST02774,Chennai,Female,43,Mobile,Social Media,B_Variant,0,3485,3,8.26,3.5,3.5,0,UPI,0
ORD00151,CUST01571,Delhi,Female,36,Mobile,Email,B_Variant,0,2633,2,8.29,5.7,4.2,0,COD,0
ORD00152,CUST00961,Mumbai,Female,56,Mobile,Google Ads,A_Control,0,3485,1,5.38,5.0,3.7,0,UPI,0
ORD00153,CUST02661,Bengaluru,Male,53,Mobile,Referral,A_Control,0,2668,3,11.43,5.2,5.0,0,UPI,0
ORD00154,CUST01486,Delhi,Female,38,Mobile,Google Ads,A_Control,0,3178,1,11.13,6.6,2.1,1,Debit Card,0
ORD00155,CUST02691,Delhi,Female,58,Mobile,Referral,B_Variant,0,4342,6,6.77,5.4,3.7,0,Net Banking,0
ORD00156,CUST01029,Hyderabad,Male,43,Desktop,Email,B_Variant,0,3920,2,12.29,6.7,4.1,1,COD,1
ORD00157,CUST03290,Delhi,Female,30,Desktop,Social Media,B_Variant,0,3314,5,12.99,4.1,3.1,1,UPI,0
ORD00158,CUST00503,Chennai,Female,53,Desktop,Social Media,A_Control,0,4199,4,10.0,3.7,3.0,1,UPI,0
ORD00159,CUST02815,Mumbai,Female,41,Mobile,Google Ads,A_Control,0,3905,5,9.81,6.0,4.6,0,Net Banking,0
ORD00160,CUST00398,Chennai,Female,58,Mobile,Google Ads,A_Control,0,3564,5,6.32,2.8,4.9,0,UPI,0
ORD00161,CUST00871,Hyderabad,Male,43,Tablet,Google Ads,B_Variant,0,2658,1,13.33,7.1,5.0,0,Debit Card,0
ORD00162,CUST02843,Mumbai,Male,38,Desktop,Google Ads,A_Control,0,1869,4,11.67,6.3,3.9,1,Credit Card,0
ORD00163,CUST00393,Mumbai,Male,35,Mobile,Organic,A_Control,0,3959,1,11.78,4.4,4.9,0,Debit Card,0
ORD00164,CUST00207,Delhi,Female,32,Mobile,Google Ads,A_Control,0,3218,8,5.72,6.1,3.8,0,Credit Card,0
ORD00165,CUST01039,Mumbai,Female,32,Mobile,Email,B_Variant,0,4283,4,4.25,5.3,4.7,1,Debit Card,0
ORD00166,CUST01882,Chennai,Female,23,Mobile,Organic,A_Control,0,2055,1,7.3,2.4,3.6,0,Debit Card,0
ORD00167,CUST02940,Hyderabad,Male,48,Desktop,Social Media,A_Control,0,4607,6,9.72,3.1,3.2,0,Debit Card,1
ORD00168,CUST01485,Delhi,Male,45,Tablet,Social Media,B_Variant,0,3126,2,6.47,4.7,4.8,1,Debit Card,0
ORD00169,CUST00864,Delhi,Female,25,Mobile,Organic,B_Variant,0,2660,2,10.27,4.5,4.9,0,Credit Card,0
ORD00170,CUST02791,Delhi,Female,46,Mobile,Google Ads,B_Variant,0,3471,3,7.37,6.3,3.5,0,Debit Card,0
ORD00171,CUST03313,Chennai,Male,38,Desktop,Organic,A_Control,0,2802,6,6.35,4.8,4.3,0,Debit Card,0
ORD00172,CUST00564,Mumbai,Male,34,Mobile,Email,B_Variant,1,3158,6,9.66,2.4,4.0,1,Net Banking,0
ORD00173,CUST01021,Bengaluru,Female,41,Tablet,Social Media,B_Variant,0,3666,3,5.35,3.5,5.0,1,Net Banking,0
ORD00174,CUST00096,Bengaluru,Female,53,Desktop,Google Ads,B_Variant,0,3193,2,9.68,5.4,3.4,1,UPI,0
ORD00175,CUST01924,Bengaluru,Male,48,Tablet,Email,A_Control,1,3367,2,12.66,1.6,4.2,1,Debit Card,1
ORD00176,CUST01758,Mumbai,Male,51,Mobile,Google Ads,A_Control,0,4270,2,13.32,2.2,3.2,1,COD,0
ORD00177,CUST02533,Chennai,Female,19,Mobile,Social Media,B_Variant,0,1997,1,6.27,3.7,2.7,1,UPI,0
ORD00178,CUST03479,Mumbai,Female,59,Mobile,Organic,B_Variant,0,3095,4,9.73,5.7,4.0,0,Debit Card,0
ORD00179,CUST02279,Mumbai,Male,20,Mobile,Social Media,B_Variant,1,2217,3,6.34,4.0,3.8,0,UPI,0
ORD00180,CUST02797,Hyderabad,Male,47,Mobile,Referral,A_Control,0,3072,4,7.14,5.0,3.3,1,UPI,0
ORD00181,CUST01679,Chennai,Female,25,Tablet,Email,B_Variant,0,2219,1,6.18,4.3,4.2,1,Credit Card,0
ORD00182,CUST03243,Mumbai,Male,24,Desktop,Organic,A_Control,0,2782,2,7.95,4.1,4.9,0,Net Banking,0
ORD00183,CUST00541,Mumbai,Male,29,Desktop,Google Ads,A_Control,0,2596,1,7.62,3.3,4.4,1,UPI,0
ORD00184,CUST01060,Mumbai,Female,36,Mobile,Email,B_Variant,0,4156,3,8.86,5.6,3.0,0,UPI,0
ORD00185,CUST02573,Delhi,Male,43,Desktop,Organic,A_Control,0,3520,2,9.77,2.4,4.0,1,UPI,0
ORD00186,CUST01184,Mumbai,Female,45,Desktop,Google Ads,A_Control,0,5106,2,7.46,3.9,4.3,0,UPI,0
ORD00187,CUST01723,Mumbai,Male,32,Mobile,Social Media,B_Variant,0,2921,2,6.69,6.0,3.6,0,Debit Card,0
ORD00188,CUST03315,Delhi,Female,31,Tablet,Google Ads,A_Control,0,3054,4,6.09,3.2,4.0,0,UPI,0
ORD00189,CUST03158,Chennai,Male,31,Mobile,Google Ads,B_Variant,1,3235,3,9.58,2.0,3.4,0,COD,0
ORD00190,CUST01820,Bengaluru,Male,20,Mobile,Referral,B_Variant,0,3385,1,3.37,1.1,3.8,0,UPI,0
ORD00191,CUST02626,Chennai,Male,46,Mobile,Organic,B_Variant,0,2335,3,10.72,5.3,3.0,0,Credit Card,0
ORD00192,CUST02730,Mumbai,Female,23,Desktop,Google Ads,B_Variant,0,3559,3,15.9,5.4,4.6,0,Credit Card,0
ORD00193,CUST02605,Hyderabad,Female,40,Desktop,Social Media,B_Variant,0,3488,1,15.33,3.8,4.7,0,COD,0
ORD00194,CUST01598,Chennai,Male,45,Mobile,Email,A_Control,0,1799,1,11.86,2.4,3.6,0,Credit Card,0
ORD00195,CUST03061,Chennai,Female,31,Mobile,Google Ads,A_Control,0,2434,1,9.92,4.1,4.3,0,Credit Card,0
ORD00196,CUST02694,Chennai,Female,31,Mobile,Social Media,B_Variant,0,2939,1,5.56,6.1,4.6,1,Debit Card,0
ORD00197,CUST00796,Hyderabad,Female,37,Mobile,Email,A_Control,1,4043,1,4.25,2.4,4.0,1,UPI,0
ORD00198,CUST01052,Bengaluru,Male,30,Mobile,Google Ads,B_Variant,0,3819,2,3.7,5.9,4.3,0,UPI,0
ORD00199,CUST01644,Mumbai,Female,44,Mobile,Organic,A_Control,0,3412,2,11.31,1.8,4.4,0,Credit Card,1
ORD00200,CUST01364,Bengaluru,Male,52,Mobile,Google Ads,A_Control,0,3525,5,7.6,2.6,3.8,1,Credit Card,0
ORD00201,CUST01982,Chennai,Male,19,Desktop,Social Media,A_Control,0,2704,2,11.35,4.5,4.0,0,UPI,0
ORD00202,CUST01355,Chennai,Female,58,Mobile,Email,A_Control,0,2044,2,7.6,5.7,3.8,0,Credit Card,0
ORD00203,CUST01664,Bengaluru,Female,57,Desktop,Google Ads,B_Variant,0,3890,2,13.73,6.5,3.5,1,Debit Card,0
ORD00204,CUST01530,Mumbai,Male,41,Mobile,Email,B_Variant,0,4221,7,10.34,5.8,3.3,1,COD,0
ORD00205,CUST02039,Delhi,Male,46,Mobile,Email,B_Variant,1,3478,3,9.32,6.6,3.2,1,Debit Card,0
ORD00206,CUST03420,Hyderabad,Female,20,Mobile,Organic,B_Variant,0,2295,3,9.91,4.6,4.2,0,Credit Card,0
ORD00207,CUST01497,Bengaluru,Female,21,Mobile,Social Media,B_Variant,0,2754,4,8.54,3.4,4.1,1,UPI,0
ORD00208,CUST03303,Bengaluru,Male,19,Mobile,Google Ads,B_Variant,0,3629,2,8.91,6.1,4.3,0,UPI,0
ORD00209,CUST02238,Delhi,Female,37,Desktop,Referral,B_Variant,0,3422,7,10.3,6.3,4.6,1,UPI,0
